The following pairings (Gene : Coords) indicate the coordinates of the gene in the restructured SVG file.

ABCA4 : [1922, 2441]
ABCB6 : [2261, 3660]
ACAT1 : [960, 1265]
ACLY : [1987, 3412]
ADIPOR1 : [936, 1330]
AGBL5 : [2611, 864]
AHR : [961, 1937]
AKAP9 : [2293, 2264]
AKT1 : [2509, 1199]
ALB : [2391, 1029]
ARAP2 : [1574, 2863]
ARHGAP22 : [2751, 1071]
ARHGAP24 : [1987, 775]
ARHGEF18 : [2294, 3728]
ARL2BP : [1731, 2721]
ARL3 : [1574, 2938]
ARL6 : [1870, 2766]
ARNT : [1261, 895]
BBS1 : [1604, 2794]
BBS2 : [1660, 2744]
BEST1 : [1546, 3399]
C2orf71 : [1302, 3570]
C8orf37 : [2118, 2375]
CA4 : [1692, 3365]
CAD : [2220, 3597]
CAPN13 : [2291, 934]
CDH13 : [2343, 980]
CDH2 : [2505, 900]
CDON : [2580, 830]
CEP70 : [1156, 2219]
CERKL : [1354, 3516]
CH25H : [1065, 2116]
CLRN1 : [1871, 3034]
CNGA1 : [2597, 1738]
CNGB1 : [2583, 1805]
CRB1 : [2345, 2219]
CRX : [2333, 4025]
CYP4V2 : [1477, 3429]
CYP51A1 : [1851, 748]
CYP8B1 : [1802, 334]
DECR1 : [1444, 798]
DHCR7 : [1447, 2403]
DHDDS : [1844, 4530]
DHX38 : [1918, 4514]
DOLK : [1863, 4646]
DTHD1 : [2238, 2306]
EMC1 : [2605, 1528]
ENO1 : [1063, 1086]
ENO2 : [1107, 1032]
ENO3 : [1154, 982]
ENO4 : [2434, 1083]
EVA1A : [2532, 931]
EYS : [1479, 4472]
FAM161A : [1258, 4271]
FAXDC2 : [1025, 2060]
FBXL19 : [2115, 3489]
FDFT1 : [1674, 364]
FSCN2 : [2564, 1872]
GAPDH : [2582, 1392]
GART : [2749, 1351]
GHR : [1512, 2424]
GNA13 : [2791, 1153]
GNG2 : [2696, 1194]
GNGT1 : [2726, 1271]
GNPDA1 : [1576, 760]
GPR125 : [1785, 2457]
GUCA1B : [1163, 3989]
HCCS : [991, 2000]
HGSNAT : [2867, 1415]
HK1 : [1263, 2307]
HSD17B7 : [1782, 743]
HSP90AA1 : [1381, 826]
IDH2 : [1322, 2344]
IDH3B : [1220, 3696]
IFT140 : [2055, 2402]
IFT172 : [1914, 2826]
IL6 : [1319, 858]
IMPDH1 : [1257, 3630]
IMPG2 : [2510, 1999]
INS : [903, 1464]
ITGB2 : [2766, 1432]
KDM2A : [2052, 797]
KDM2B : [2116, 824]
KDM6A : [990, 1203]
KDM6B : [1024, 1143]
KIAA1549 : [1579, 2441]
KIZ : [2705, 992]
KLHL7 : [1547, 4502]
KPNA2 : [1414, 4433]
KPNA7 : [1916, 3386]
LRAT : [1802, 466]
LSS : [917, 1807]
MAF : [1355, 4386]
MAK : [1806, 3071]
MERTK : [1674, 437]
MSMO1 : [1713, 743]
MVK : [1989, 2424]
MYC : [2392, 2169]
NEK2 : [2474, 1139]
NEUROD1 : [1173, 3839]
NOS3 : [1647, 2452]
NR2E3 : [2338, 3950]
NRL : [1618, 3377]
OFD1 : [1660, 3056]
PARK2 : [1620, 4523]
PDE6A : [2563, 1326]
PDE6B : [2179, 2343]
PDE6G : [1173, 4063]
PLK1 : [2619, 1047]
PNPT1 : [2571, 979]
POMGNT1 : [1874, 4716]
PPARA : [895, 1670]
PPARG : [895, 1532]
PRCD : [1192, 3766]
PRDM10 : [892, 1601]
PRKAR2B : [917, 1396]
PROM1 : [2475, 2058]
PRPF3 : [2221, 4302]
PRPF31 : [2295, 4171]
PRPF4 : [2173, 4359]
PRPF6 : [2117, 4410]
PRPF8 : [2262, 4238]
PRPH2 : [2608, 1600]
PTPN23 : [2333, 3873]
PYGL : [1383, 2376]
RANBP2 : [1163, 3913]
RBP3 : [1731, 482]
RCVRN : [1920, 759]
RDH12 : [1767, 3362]
REEP6 : [2823, 1238]
RGR : [1731, 318]
RHO : [2538, 1261]
RHOA : [2660, 1119]
RLBP1 : [2436, 2115]
ROM1 : [2539, 1936]
RP1 : [1914, 2973]
RP1L1 : [1303, 4332]
RP2 : [1605, 3006]
RP9 : [2055, 4453]
RPE65 : [1834, 400]
RPGR : [1930, 2900]
SAG : [2605, 1669]
SAMD11 : [1694, 4535]
SC5D : [1645, 748]
SEMA4A : [1769, 4538]
SIN3A : [1509, 776]
SLC2A4 : [1208, 2265]
SLC7A14 : [2849, 1326]
SNRNP200 : [1988, 4488]
SP1 : [1716, 2457]
SPATA7 : [1842, 3369]
SPP2 : [903, 1739]
SQLE : [937, 1873]
SRGAP2 : [2235, 893]
SRGAP3 : [2177, 856]
STAT3 : [2596, 1460]
TCOF1 : [1805, 2729]
TM7SF2 : [1108, 2170]
TOPORS : [1192, 4136]
TRNT1 : [2653, 917]
TSPO : [1206, 936]
TULP1 : [1221, 4206]
UBC : [2053, 3446]
UBXN1 : [2318, 3799]
USH2A : [1731, 3079]
XPO1 : [1413, 3468]
XRN1 : [2171, 3540]
ZNF408 : [1854, 2452]
ZNF513 : [2319, 4099]
